task,seed,condition,score,algorithm
breast_cancer,0,single_no_feedback,0.9578709112149533,logreg
breast_cancer,0,single_iterative,0.9578709112149533,logreg
breast_cancer,0,multi_agent,0.9578709112149533,logreg
breast_cancer,1,single_no_feedback,0.9515917056074766,logreg
breast_cancer,1,single_iterative,0.954731308411215,hist_gradient_boosting
breast_cancer,1,multi_agent,0.954731308411215,random_forest
breast_cancer,2,single_no_feedback,0.9562646028037383,logreg
breast_cancer,2,single_iterative,0.9562646028037383,logreg
breast_cancer,2,multi_agent,0.9562646028037383,logreg
wine,0,single_no_feedback,1.0,logreg
wine,0,single_iterative,1.0,logreg
wine,0,multi_agent,1.0,logreg
wine,1,single_no_feedback,0.9841269841269842,logreg
wine,1,single_iterative,0.9841269841269842,logreg
wine,1,multi_agent,0.9841269841269842,logreg
wine,2,single_no_feedback,0.9841269841269842,logreg
wine,2,single_iterative,0.9841269841269842,logreg
wine,2,multi_agent,0.9841269841269842,logreg
digits,0,single_no_feedback,0.9776987826987827,random_forest
digits,0,single_iterative,0.9815449365449366,hist_gradient_boosting
digits,0,multi_agent,0.9720707315046939,logreg
digits,1,single_no_feedback,0.9664776209115832,logreg
digits,1,single_iterative,0.9664776209115832,logreg
digits,1,multi_agent,0.9664776209115832,logreg
digits,2,single_no_feedback,0.9555050749390371,logreg
digits,2,single_iterative,0.9555050749390371,logreg
digits,2,multi_agent,0.9555050749390371,logreg
